"","source_id","ra","dec","phot_g_mean_mag","pmra","pmdec"
"1",5922077001986176,40.3400909553719,4.42753920910532,6.9498754,10.281035232275,-61.2983317602918
"2",5972070421436672,40.2358799643497,4.87072068277615,7.307699,NA,NA
"3",18118925129052544,38.9685186847425,5.5931413103652,4.6401253,-27.5854433986369,-22.2052813738658
"4",18319482922049664,38.365835539215,5.70018787539412,7.303468,14.6623011853911,2.31680254576782
"5",576702683516956416,135.2757033482,1.28015072813135,7.4281077,NA,NA
"6",576765420103539840,133.986150793525,0.885960912311614,7.9217515,NA,NA
"7",576860807033198976,134.534030470235,1.54155552183935,6.594476,NA,NA
"8",576901282805203072,134.898000671668,1.41194364959064,7.4297123,NA,NA
"9",576913446152552576,135.104524655463,1.68495592350612,7.9453483,NA,NA
"10",576968730971492736,134.824494375789,1.79441822863022,7.6902246,NA,NA
"11",577122903117225088,136.163690315347,1.9103634665216,7.4328847,NA,NA
"12",577265427312053888,136.819665131086,2.58170551299703,6.5564613,NA,NA
"13",577318680610752384,135.775109352882,2.05681191805898,7.8664894,NA,NA
"14",577353113364623616,136.313932515136,2.41407455856627,7.4718804,NA,NA
"15",577433308992926080,135.494913136844,2.67120799442982,7.3402576,NA,NA
"16",577669635274282752,133.466505279469,1.82411221388913,7.16708,NA,NA
"17",577674441342477824,133.391885556,1.91258599089619,7.7083664,NA,NA
"18",577702311385416576,133.730768738876,2.01684952051745,7.7005134,NA,NA
"19",577835043054673792,134.306644923788,2.52483787244433,6.8585305,NA,NA
"20",577958531954386688,132.476353423647,2.36228574115981,6.9936504,NA,NA
"21",578018691560530816,133.794234815149,2.62866632265401,7.5128474,NA,NA
"22",578116586750849920,133.592658970403,3.12231923922301,7.860991,NA,NA
"23",578313055734691712,135.51958674704,3.27997648331716,7.7697067,NA,NA
"24",578338859898170496,136.165231402716,3.5410920488699,7.2864532,NA,NA
"25",578483097784850176,134.747202409991,3.65608439915756,7.6810927,NA,NA
"26",578802815155663232,137.379401034673,2.94115534214469,7.8245077,NA,NA
"27",578978122831046272,138.353240573989,3.82456643568063,7.1801763,NA,NA
"28",579147000944785792,138.053442983026,3.86695756342551,6.1370354,NA,NA
"29",579370201805314944,138.714545071724,4.21035247784198,7.743628,NA,NA
"30",579551586864175616,139.963074689383,5.21598903300311,6.574324,NA,NA
"31",579567598501642368,138.723196978429,4.44291018916615,7.653692,NA,NA
"32",579850585307103744,136.634245221921,3.85978626407094,7.931538,NA,NA
"33",580130617174954624,135.904149066158,4.45893773393974,7.784918,NA,NA
"34",580223869504212480,135.398585747863,4.98686954417254,7.758354,NA,NA
"35",580275512191589760,136.49311197833,5.09228340778401,4.634946,NA,NA
"36",580462497887595904,137.981367011853,5.46858052959206,6.2712026,NA,NA
"37",580568497680564864,138.345252950113,5.81551603887127,7.2879415,NA,NA
"38",580576778377496832,138.518989448404,5.91945072552012,7.8761473,NA,NA
"39",580692978717446272,137.258854383535,5.60747704034227,7.9366975,NA,NA
"40",580969819425067904,132.13685704287,2.5635367187164,6.6508822,NA,NA
"41",580982498168531584,132.050870508846,2.57995258713755,7.2922387,NA,NA
"42",581100382135253760,132.301543490178,3.48502254552503,7.295366,NA,NA
"43",581201571564630784,132.33713401921,3.68402812152927,7.7863955,NA,NA
"44",581221882465523712,133.181723669922,3.84964319120207,7.3951764,NA,NA
"45",581390382622822400,132.227376761586,3.75578915160822,7.5109773,NA,NA
"46",581488788913395584,131.793607180195,4.35798039690696,7.370117,NA,NA
"47",581551078823183360,133.344077239331,3.90822853098588,7.025731,NA,NA
"48",581578502191289344,134.154320938084,4.23657121770849,5.8784685,NA,NA
"49",581822593772844672,133.014129722922,4.4661216234796,7.384033,NA,NA
"50",582017344768871296,133.858660604968,5.56587497069135,6.27886,NA,NA
"51",582039296346268032,133.100747252264,5.3402702083271,6.372704,NA,NA
"52",582056033834312320,133.62840648959,5.46439847201206,6.5628796,NA,NA
"53",582157738659724800,130.999004966245,4.33453186650891,6.360319,NA,NA
"54",582221750852254080,130.604784774722,4.57720609642242,7.48436,NA,NA
"55",582233776760764544,131.627972296867,4.31704536401115,7.245933,NA,NA
"56",582263532294133760,131.395462471744,4.66402679105662,6.1141653,NA,NA
"57",582554731076655744,131.129683634013,5.28589528880835,6.8692083,NA,NA
"58",582739620828755200,132.056213106139,5.44255105002093,7.4736814,NA,NA
"59",582791194797052416,132.108126875122,5.83768158291194,4.3399606,NA,NA
"60",582957530289386624,131.255357532506,5.68056617511077,6.1050687,NA,NA
"61",583286146827230592,135.38064628505,5.64096776764947,5.7833915,NA,NA
"62",583379124279340032,135.454714752181,5.65160919364216,7.126083,NA,NA
"63",583448393511836544,135.237553815997,5.99322129511433,7.556546,NA,NA
"64",583551781964808576,134.400898072164,5.89587488986041,7.99789,NA,NA
"65",583588100209595776,133.847991006962,5.94562859389227,2.8702028,NA,NA
"66",585508362906352128,140.917822226647,5.2195091748445,6.8431187,NA,NA
"67",585579964305553280,140.533971128592,5.57872896783176,7.759009,NA,NA
"68",585631095892169728,141.059617802174,5.65259544492307,7.6605363,NA,NA
"69",594595517273147648,129.413723536478,5.70375420325276,4.136101,NA,NA
"70",594641009565720192,129.933302508001,5.76293933555611,7.108908,NA,NA
"71",594761612247514240,128.63838332372,5.5039507095631,5.969182,NA,NA
"72",594803840365942016,129.319546857419,5.99140945915913,7.181787,NA,NA
"73",1152985692893961600,225.433053877966,0.714888403684593,7.6468043,NA,NA
"74",1153076196444774144,225.843191092079,0.889548778284973,6.604286,NA,NA
